Tam. Entrada,BubbleSort,SelectionSort,InsertionSort,TimSort,HeapSort,QuickSort,ShellSort,MergeSort
1000,247389.0,993.0,247389.0,48267171.0,10565.0,689.0,251607.0,1000.0
10000,24774219.0,9982.0,24774219.0,48454756.0,139295.0,6971.0,25215712.0,10000.0
100000,2497145849.0,99986.0,2497145849.0,50895562.0,1725020.0,69382.0,2502754057.0,100000.0
200000,10017796476.0,199986.0,10017796476.0,19598318.0,3650297.0,138962.0,9982003153.0,200000.0
300000,0.0,299986.0,22520345556.0,26550481.0,5645496.0,208543.0,22479355461.0,300000.0
400000,0.0,399987.0,0.0,36551758.0,7699248.0,278257.0,0.0,400000.0
500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
700000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
800000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
900000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000000,0.0,0.0,0.0,73626232.0,20547935.0,694966.0,0.0,1000000.0
