Tam. Entrada,BubbleSort,SelectionSort,InsertionSort,TimSort,HeapSort,QuickSort,ShellSort,MergeSort
1000,455490.0,990.0,455490.0,33690.0,9791.0,749.0,97.0,1000.0
10000,45468990.0,9986.0,45468990.0,317896.0,130725.0,7538.0,996.0,10000.0
100000,4545648990.0,99990.0,4545648990.0,3949536.0,1636765.0,75587.0,9995.0,100000.0
200000,10101498990.0,199990.0,10101498990.0,7197373.0,3635741.0,151713.0,9898401010.0,200000.0
300000,26768448990.0,299984.0,26768448990.0,9296713.0,5528043.0,227260.0,18231401010.0,300000.0
400000,54546498990.0,399984.0,54546498990.0,14797596.0,7497807.0,304569.0,25453301010.0,400000.0
500000,93435648990.0,499986.0,93435648990.0,21746302.0,9472893.0,381432.0,31564101010.0,500000.0
600000,143435898990.0,599988.0,143435898990.0,19194666.0,11490555.0,456423.0,36563801010.0,600000.0
700000,0.0,699988.0,204547248990.0,24495866.0,13531293.0,530665.0,40452401010.0,700000.0
800000,0.0,799988.0,0.0,30396651.0,15564585.0,608015.0,43229901010.0,800000.0
900000,0.0,899976.0,0.0,44371942.0,17598097.0,683882.0,44896301010.0,900000.0
1000000,454547898990.0,999980.0,454547898990.0,50115204.0,19698141.0,760366.0,99994.0,1000000.0
