Tam. Entrada,BubbleSort,SelectionSort,InsertionSort,TimSort,HeapSort,QuickSort,ShellSort,MergeSort
1000,44010.0,986.0,44010.0,5271.0,10377.0,756.0,2561.0,1000.0
10000,4526010.0,9980.0,4526010.0,95697.0,136857.0,7459.0,37333.0,10000.0
100000,454301010.0,99974.0,454301010.0,1330302.0,1701087.0,75680.0,560681.0,100000.0
200000,9898401010.0,199984.0,9898401010.0,39354213.0,3574393.0,151496.0,1528708.0,200000.0
300000,18231401010.0,299990.0,18231401010.0,46791051.0,5540753.0,226728.0,2259548.0,300000.0
400000,25453301010.0,399986.0,25453301010.0,57467752.0,7573773.0,303597.0,2983108.0,400000.0
500000,31564101010.0,499990.0,31564101010.0,71446018.0,9595639.0,379956.0,3646231.0,500000.0
600000,36563801010.0,599986.0,36563801010.0,89318616.0,11704893.0,456058.0,4245532.0,600000.0
700000,40452401010.0,699982.0,40452401010.0,110669641.0,13838697.0,531557.0,4906368.0,700000.0
800000,43229901010.0,799986.0,43229901010.0,135521548.0,15975383.0,608130.0,5734563.0,800000.0
900000,44896301010.0,899982.0,44896301010.0,163874212.0,18124835.0,683423.0,6280456.0,900000.0
1000000,45451601010.0,999974.0,45451601010.0,17001560.0,20272139.0,760419.0,6667492.0,1000000.0
